,Valtio,Seurakunnat,Muut kunnat,Muut yhteensÃ¤,"Muiden kuin kunnan omistus yhteensÃ¤, ha",Kunnan maapinta-ala,"Muiden kuin kunnan maanomistus kunnan maapinta-alasta, %"
2011,391,387,49,61881,62708,65900,"95,2"
2012,387,597,49,61651,62684,65900,"95,1"
2013,387,597,49,61631,61664,65900,"95,1"
2014,387,597,49,61578,62611,65900,"95,0"
2015,387,597,49,61554,62587,65900,"95,0"
2016,387,597,49,61554,62321,65900,"94,6"
2017,431,594,49,61134,62208,65900,"94,4"
2018,520,594,39,61014,62167,65900,"94,3"
2019,462,597,40,61063,62162,65900,"94,3"
2020,524,605,41,60960,62130,65900,"94,3"
2021,508,586,34,60640,61768,65900,"93,7"
